Product,UserId,Duration(ms)
"Aurometalsaurus Cap [S]","0x7295e843ea",16226
"Ginger Shirt [M]","0x5295811ba8",12515
"Dark Pastel Blue Skirt [M]","0x73801a2c77",21273
"Old Gold Hat [L]","0xf6ab56c3a3",14309
"Vivid Violet Shoes [S]","0x51a86094d1",10120
"Non-Photo Blue Skirt [L]","0x6dca13a93",17825
"Pale Silver Polo shirt [M]","0xd4e9dc7929",9161
"Granny Smith Apple Jeans [S]","0x616df2a25a",23690
"Light Goldenrod Yellow Jeans [S]","0xff39cbe9e1",13377
"Air Force Blue (Raf) High heels [M]","0xe4c8827283",20911
"Yellow (Process) Swimsuit [S]","0xbaa7a1b6f9",22521
"Ginger Shirt [M]","0xceb8e2f333",24747
"Tickle Me Pink Socks [L]","0x3d3c93b808",26558
"Gray (X11 Gray) Long coat [L]","0x51a86094d1",12674
"Rubine Red Shorts [L]","0xc9f90c1f39",22406
"Medium Candy Apple Red Dress [S]","0x9d25198dd3",22340
"Cerulean Frost Polo shirt [M]","0xb16cddf23d",16839
"Medium Candy Apple Red Dress [S]","0x829b14761a",11715
"Verdigris Jacket [L]","0x31a1b97748",10301
"Hunter Green Bra [S]","0x561cbcfcd8",10259
"Cerulean Frost Polo shirt [M]","0x2c20ebfc6a",16832
"Baby Blue Jeans [M]","0xeb4af5a57",13591
"Hunter Green Bra [S]","0xb2e1bfbda0",18248
"Light Goldenrod Yellow Jeans [S]","0xe9fc259880",4586
"Puce Flip-flops [S]","0x358c85e4cd",10347
"Brilliant Rose Polo shirt [M]","0x221c118c66",16548
"Dandelion Shirt [M]","0xa1d475ef8d",12838
"Green (Color Wheel) (X11 Green) Shorts [M]","0x21e5f4c37e",19710
"Baby Blue Jeans [M]","0x760fa59fe3",17206
"Medium Candy Apple Red Shorts [S]","0xc9f90c1f39",21570
"Old Gold Hat [L]","0x5295811ba8",12323
"Mango Tango Coat [S]","0x2636f9560e",15713
"Puce Flip-flops [S]","0x7b4725efce",22100
"Air Force Blue (Raf) High heels [M]","0x284cb8989d",13894
"Air Force Blue (Raf) High heels [M]","0x3ca5b68d89",6012
"Fallow T-shirt [S]","0x385a3f442d",19335
"Ginger Shirt [M]","0x812469163",8945
"Carmine Red Leather jackets [L]","0x62e14abc65",18366
"Antique White Flip-flops [S]","0x70ac01c8fd",9429
"Dark Pastel Blue Skirt [M]","0x73801a2c77",9105
"Ginger Shirt [M]","0x49e1063132",6405
"Atomic Tangerine Socks [M]","0x51a86094d1",19376
"Pale Carmine Jacket [L]","0xeb4af5a57",15006
"Green (Color Wheel) (X11 Green) Shorts [M]","0x88bef2b6ba",10211
"Dandelion Shirt [M]","0x760fa59fe3",16103
"Old Gold Hat [L]","0x8aa6158267",19888
"Rubine Red Shorts [L]","0x393d12ba8e",20088
"Lavender Mist Sunglasses [M]","0x8aa6158267",13247
"Medium Candy Apple Red Dress [S]","0xbc756acfd",8085
"Non-Photo Blue Skirt [L]","0x284cb8989d",17616
"Granny Smith Apple Jeans [S]","0xc5ef680124",14529
"Trolley Grey Socks [M]","0xcbaf86f2ca",14163
"Lavender Mist Sunglasses [M]","0x812469163",16248
"Pakistan Green Scarf [S]","0x20c5626e0a",11275
"Beige Hat [L]","0x2195dea132",13899
"Cerulean Frost Polo shirt [M]","0x35424fcab9",10806
"Non-Photo Blue Skirt [L]","0x6dca13a93",11626
"Vivid Violet Shoes [S]","0x5b54089954",12031
"Cerulean Frost Polo shirt [M]","0x69dd547101",5024
"Trolley Grey Socks [M]","0xd366ca8c63",8211
"Azure Mist/Web High heels [S]","0xa1d475ef8d",12175
"Gray (X11 Gray) Long coat [L]","0xf6ab56c3a3",23708
"Tickle Me Pink Socks [L]","0x2b7a42b022",13911
"Light Apricot Bra [S]","0x37990184b4",18257
"Non-Photo Blue Skirt [L]","0xfc676dd9c",8923
"Beige Hat [L]","0x8c1edf03d6",13770
"Medium Candy Apple Red Shorts [S]","0xb6b1b631e7",21015
"Ecru Flip-flops [L]","0xff39cbe9e1",13735
"Hunter Green Bra [S]","0xbaa7a1b6f9",19128
"Cyan (Process) Hat [M]","0xa630cfa2c3",10180
"Granny Smith Apple Jeans [S]","0x910cf1dc10",14071
"Topaz Jeans [S]","0x4c019d914",11481
"Medium Candy Apple Red Dress [S]","0x49e1063132",15454
"Yellow (Process) Swimsuit [S]","0xfcdb4c2ea",18587
"Cream High heels [M]","0xfbb43ee0cd",14843
"Puce Flip-flops [S]","0xbaa7a1b6f9",14098
"Medium Candy Apple Red Shorts [S]","0x616df2a25a",5672
"Ginger Shirt [M]","0x2636f9560e",14331
"Yellow (Ncs) Shirt [M]","0x2195dea132",16698
"Dandelion Shirt [M]","0x7295e843ea",10789
"Medium Candy Apple Red Dress [S]","0x4e090b3587",16436
"Yellow (Process) Swimsuit [S]","0xd4e9dc7929",5865
"Cream High heels [M]","0x301ef9e9c0",15166
"Verdigris Jacket [L]","0x829b14761a",10576
"Light Goldenrod Yellow Jeans [S]","0xacad852b6f",17509
"Topaz Jeans [S]","0x4e090b3587",12419
"Rubine Red Shorts [L]","0xc35e4d5eab",19441
"Atomic Tangerine Socks [M]","0x28ee102778",17130
"Aurometalsaurus Cap [S]","0xbc756acfd",13335
"Yellow (Ncs) Shirt [M]","0x561cbcfcd8",17992
"Vivid Violet Shoes [S]","0xfc676dd9c",6061
"Verdigris Jacket [L]","0x243d028e79",11290
"Turquoise Blue Jacket [L]","0x3d53d2270e",17103
"Ginger Shirt [M]","0x616df2a25a",8645
"Ginger Shirt [M]","0xc5ef680124",8231
"Light Apricot Bra [S]","0x1544b518f6",10347
"Non-Photo Blue Skirt [L]","0xbeeaac6579",13671
"Yellow (Ncs) Shirt [M]","0xbb5d6e2d27",24656
"Rubine Red Shorts [L]","0x69dd547101",18882
"Tickle Me Pink Socks [L]","0xff39cbe9e1",7455
"Pink Pearl T-shirt [M]","0xbaa7a1b6f9",10058
"Pale Carmine Jacket [L]","0xbe61835345",17343
"Yellow (Process) Swimsuit [S]","0x284cb8989d",16564
"Medium Candy Apple Red Shorts [S]","0xacad852b6f",13960
"Pale Silver Polo shirt [M]","0x4625948e95",14093
"Cerulean Frost Polo shirt [M]","0xd366ca8c63",16593
"Baby Blue Jeans [M]","0x592563f83",19615
"Light Apricot Bra [S]","0x221c118c66",14373
"Green (Color Wheel) (X11 Green) Shorts [M]","0xc5ef680124",22624
"Atomic Tangerine Socks [M]","0x4c4b1a0220",21874
"Fallow T-shirt [S]","0x20c5626e0a",11540
"Cerulean Frost Polo shirt [M]","0xbd7d5311f1",19331
"Lavender Mist Sunglasses [M]","0x20c5626e0a",12605
"Cerulean Frost Polo shirt [M]","0x5295811ba8",12882
"Turquoise Blue Jacket [L]","0xda4094746b",18635
"Azure Mist/Web High heels [S]","0x69958b0912",17763
"Light Goldenrod Yellow Jeans [S]","0xacad852b6f",2019
"Yellow (Ncs) Shirt [M]","0x5295811ba8",14509
"Pale Silver Polo shirt [M]","0x5295811ba8",18279
"Cyan (Process) Hat [M]","0xf6ab56c3a3",4140
"Medium Candy Apple Red Dress [S]","0x2195dea132",20555
"Trolley Grey Hoodies [M]","0x49e1063132",17021
"Pakistan Green Scarf [S]","0xaa75eff06c",20401
"Pakistan Green Scarf [S]","0x26be8faeb2",9059
"Gray (X11 Gray) Long coat [L]","0xc722636db2",17856
"Ultramarine Shorts [S]","0x3d53d2270e",16864
"Dandelion Shirt [M]","0x4e090b3587",12674
"Topaz Jeans [S]","0xd366ca8c63",7775
"Turquoise Blue Jacket [L]","0x3f64b5d848",16175
"Medium Candy Apple Red Dress [S]","0x88ab224d21",21300
"Non-Photo Blue Skirt [L]","0xe9fc259880",13747
"Cornflower Blue Shoes [S]","0xbb5d6e2d27",17103
"Brilliant Rose Polo shirt [M]","0x393d12ba8e",4497
"Vivid Violet Shoes [S]","0x3d3c93b808",17694
"Cerulean Frost Polo shirt [M]","0x910cf1dc10",12234
"Antique White Flip-flops [S]","0xf6ab56c3a3",13811
"Ginger Shirt [M]","0x9d25198dd3",9483
"Fallow T-shirt [S]","0xe9fc259880",23986
"Ecru Flip-flops [L]","0x2a95f022e9",11223
"Light Apricot Bra [S]","0x88bef2b6ba",13568
"Light Goldenrod Yellow Jeans [S]","0x26be8faeb2",17480
"Pink Pearl T-shirt [M]","0x4c019d914",14369
"Ultramarine Shorts [S]","0x284cb8989d",12672
"Pink Pearl T-shirt [M]","0xddd6d1120d",18058
"Pale Silver Polo shirt [M]","0xbd7d5311f1",7649
"Non-Photo Blue Skirt [L]","0x4625948e95",16715
"Verdigris Jacket [L]","0x561cbcfcd8",25975
"Trolley Grey Socks [M]","0x910cf1dc10",16911
"Ecru Flip-flops [L]","0x7b4725efce",10830
"Cornflower Blue Shoes [S]","0x8aa6158267",13017
"Medium Candy Apple Red Dress [S]","0xc23fba9303",6368
"Cerulean Frost Polo shirt [M]","0xaa75eff06c",14936
"Light Red Ochre Leather jackets [M]","0x243d028e79",24361
"Granny Smith Apple Jeans [S]","0x4c4b1a0220",9129
"Medium Candy Apple Red Dress [S]","0x2c20ebfc6a",15162
"Fallow T-shirt [S]","0x62e14abc65",13119
"Pale Silver Polo shirt [M]","0x92fe67db64",31388
"Antique White Flip-flops [S]","0x31a1b97748",23667
"Ecru Flip-flops [L]","0x358c85e4cd",18798
"Baby Blue Jeans [M]","0x4c019d914",21271
"Atomic Tangerine Socks [M]","0x2d7f7a993c",14706
"Scarlet (Crayola) Cap [M]","0x26be8faeb2",9016
"Puce Flip-flops [S]","0x1544b518f6",19763
"Air Force Blue (Raf) High heels [M]","0xd5c3fc9070",16498
"Beige Hat [L]","0x4c019d914",9926
